text,intent
talk to you later,goodbye
Any elegant jackets?,ask_style
Show me formal wear,ask_style
What do you have in business style?,ask_style
Looking for something formal,ask_style
I'm done shopping,goodbye
Looking for items below $50,ask_price
I like minimal design,ask_style
I'm searching for a raincoat,ask_product
Do you sell vintage clothes?,ask_style
hi again,greet
Can I see some coats?,ask_product
I need something stylish,ask_style
greetings,greet
Do you have casual clothes?,ask_product
Any elegant jackets?,ask_style
I'm searching for a raincoat,ask_product
I'll come back later,goodbye
bye,goodbye
Show me winter wear,ask_product
good evening,greet
Affordable options please,ask_price
thanks a lot,goodbye
I like minimal design,ask_style
I'm done shopping,goodbye
Looking for items below $50,ask_price
Looking for something formal,ask_style
I'm into casual style,ask_style
I'm done shopping,goodbye
I need something not expensive,ask_price
goodbye,goodbye
I need sneakers,ask_product
Show me cheap options,ask_price
hello assistant,greet
greetings,greet
I need sneakers,ask_product
hi,greet
thank you,goodbye
hello,greet
I want to buy some boots,ask_product
hello,greet
I want a trendy look,ask_style
bye,goodbye
bye,goodbye
greetings,greet
hi again,greet
hi again,greet
I need something stylish,ask_style
hey there,greet
I need something not expensive,ask_price
Do you have anything under $100?,ask_price
good evening,greet
Can I see some coats?,ask_product
hello assistant,greet
I want a trendy look,ask_style
Affordable options please,ask_price
Do you have anything under $100?,ask_price
good evening,greet
Any stylish jackets?,ask_product
Any stylish jackets?,ask_product
I need something not expensive,ask_price
Any stylish jackets?,ask_product
bye,goodbye
hello,greet
Looking for items below $50,ask_price
Do you have casual clothes?,ask_product
I'm searching for a raincoat,ask_product
What do you have in business style?,ask_style
Do you have sporty outfits?,ask_style
hey there,greet
Can I see some coats?,ask_product
Do you have any shoes?,ask_product
I'm into casual style,ask_style
Any low-cost jackets?,ask_price
hi again,greet
see you next time,goodbye
I want a trendy look,ask_style
Do you have sporty outfits?,ask_style
hello assistant,greet
What do you have in business style?,ask_style
I'm looking for a jacket,ask_product
Do you have sporty outfits?,ask_style
Can I see some coats?,ask_product
Is there a discount section?,ask_price
What’s the cheapest you have?,ask_price
how are you,greet
I want to buy some boots,ask_product
goodbye,goodbye
talk to you later,goodbye
I need something not expensive,ask_price
What’s the cheapest you have?,ask_price
I want to buy some boots,ask_product
cheers,goodbye
Show me winter wear,ask_product
Show me winter wear,ask_product
Show me winter wear,ask_product
What’s the cheapest you have?,ask_price
hello assistant,greet
hello assistant,greet
Show me cheap options,ask_price
hi again,greet
bye,goodbye
What do you have in business style?,ask_style
thank you,goodbye
Show me winter wear,ask_product
Got any running shoes?,ask_product
I need something not expensive,ask_price
Do you sell vintage clothes?,ask_style
Price range under $80,ask_price
I need sneakers,ask_product
appreciate your help,goodbye
Looking for something formal,ask_style
I'm done shopping,goodbye
Looking for items below $50,ask_price
greetings,greet
I'm searching for a raincoat,ask_product
thanks a lot,goodbye
see you next time,goodbye
Looking for something formal,ask_style
Do you sell vintage clothes?,ask_style
Any stylish jackets?,ask_product
Show me winter wear,ask_product
hey,greet
Show me cheap options,ask_price
I'll come back later,goodbye
bye,goodbye
thank you,goodbye
I want a trendy look,ask_style
I'm searching for a raincoat,ask_product
Do you have sporty outfits?,ask_style
hey,greet
bye,goodbye
cheers,goodbye
bye,goodbye
Do you have any shoes?,ask_product
how are you,greet
Show me cheap options,ask_price
cheers,goodbye
